,ID_INTERVISTATO,OVS.7_10_E_SMS
7847,6333_9_07008ff38f52ba4900b11670076a3680,perché sono rimasta soddisfatta
7848,6333_9_0708d0f7496af5f9aa09c3e42a824c65,"Segnalato calo resa adsl, forum contatto non semplicissimo da trovare. Tecnico arriva dopo 4-5 giorni poco preavviso e rimando al giorno s Guasto pare da lui risolto ma resa dell'ADSL ancora scarsa"
7850,6333_9_070cf7a6376210a9c07ae3c8c78c552e,Perché risolto abbastanza velocemente
7853,6333_9_073ca725b24eaeab2995dd2ceefe389e,"Soddisfazione per la celerita"""
7855,6333_9_075700fde9f3a0b1958130a7798e481f,Perché mi sembra buono ma non ottimo
7856,6333_9_075a5de93333bf9b0e1bf7c8fd89c36d,Per la velocità di risoluzione del problema
7858,6333_9_07967936fca9a66f388a8b4ba7df9e57,Tutto ok
7860,6333_9_07a100dc280923c8f6c9483724be7604,"Il problema si è risolto subito, gli operatori sono stati efficienti e gentili."
7863,6333_9_0820d9f85df5b34390c4fb1cebec6fab,problema risolto
7865,6333_9_0854d40777430e9ccae33c32553d18ab,Per competenza e attenzione dell'interlocutore
7866,6333_9_087ee1a00ffa148e761877b7c15d24eb,Gentilezza e professionalità
7868,6333_9_0892edd978e883f4c24a86e7c7733808,Nonostante il problema riscontrato dipendesse direttamente dalla centrale l'intervento è stato tempestivo e risolutivo.
7871,6333_9_08c020c3ffdacd63290dc3a40592ecf6,Perché si
7872,6333_9_08e1540756fd15392e5a17f28a6702ac,Per la gentilezza e la competenza dell'operatore
7873,6333_9_08ef22ab5b3523e5b812b6e5cd47d3e9,"Tempi corretti buon followup del problema. Alla prima telefonata di segnalazione non esiste la voce ""assistenza tecnica"", solo la cortesia di un'operatrice ha potuto supplire"
7876,6333_9_091349e3a34e125d4b8285e93598809a,Al call center 191 il tecnico è stato preciso
7877,6333_9_091c01b15d63f210be375b6a3130bd70,Cosi
7878,6333_9_09266001a240c308c67e209703b4cd81,Perché mi sono trovato bene
7880,6333_9_0943d9d80b416749114833eaf29d6e76,X
7881,6333_9_09484a0808ed3fda52f19cf969d72869,Il tutto si è risolto in breve tempo e anche l'operatore telefonico è stato gentile e soddisfacente in merito. Grazie
7882,6333_9_095f4b56eae81e617d0b9f5243d4fe9e,perché la riparazione del guasto ha richiesto più di una settimana troppo per una farmacia.
7885,6333_9_096585d851d3515989e22fde559cb911,Buona comunicazione alla segnalazione. Tecnico competente e gentilissimo. Risolto velocemente il guasto.
7886,6333_9_0966829a26724053a2bbcf330ff25205,Perché lo meritate
7888,6333_9_09860238920bbb0f9d1453dbec89e6ba,per la cortesia e disponibilita
7889,6333_9_09936c3706d46652192556f88ff4310e,Perché  è stato risolto in breve tempo
7890,6333_9_099a70afb79c8aa706a2082cb4f20613,Problema risolto ma si potevano velocizzare i tempi di risoluzione
7895,6333_9_0a0fb99540e122eaec7cfab6f704ce62,Per la gentilezza
7896,6333_9_0a1968af61f578d1d6d021bcae97c145,Con cortesia e professionalità è stato risolto il problema direttamente stando al telefono. Operatore molto cordiale e preparato
7897,6333_9_0a2dd2b15d6f67cb3d09e1b8e5a22539,Tutto si e’ Svolto bene il tecnico e’ stato veloce disponibile e competente ed e’ arrivato anche sabato
7898,6333_9_0a66504ced102c98a4aef1a4ff52ff09,È un voto complessivo considerando anche i trascorsi con Telecom.
7899,6333_9_0a68d180e5fbf2c4051a4cea04bf6220,Tutto ok
7902,6333_9_0a831ee8b7714defbff271705e4d4613,Operatore cordiale
7904,6333_9_0ab6001a0be363d09feb499c8c5879f3,"Tecnici disponibilissimi,ma servizio telefonico molto lento."
7905,6333_9_0ae858170caa4e4a908bf5a61aa38dd6,Ottima risoluzione ma con qualche ritardo
7909,6333_9_0b5165e05bc23efd08c1433bc0350df2,Tempo di attesa
7913,6333_9_0bbc11a307b242a711df967ce533fbe7,Tutto ok
7914,6333_9_0bce86a636d98e64be6decb1c2218437,"Perché il tecnico è stato tempestivo nel raggiungere il mio domicilio, anche se non ha risolto il problema."
7915,6333_9_0bd491ff43a9f979f7917833bf1588d6,"Assistenza veloce e precisa, molto gentile"
7916,6333_9_0be80e45a11742ca9af48baeb2bd8510,Per il momento è tutto a posto ma il problema si potrebbe ripresentare
7917,6333_9_0c06abb88f7aaf1b499c543c67ba86d8,Perché aspetto che il tecnico mi chiami in quanto il servizio internet non è consecutivo Grazie
7918,6333_9_0c1d9098092eef79aa686c12b589d785,Il problema è stato risolto
7919,6333_9_0c4cd9dd2b8497bf557ff3bc46c31f26,Celerità
7920,6333_9_0c4ff2d99d744c415eecefc3a9da7f72,Il problema è stato risolto in tempi brevi.
7922,6333_9_0c59de4f58a0686faed8577c8db6d12e,Un giusto compromesso
7925,6333_9_0c9071d558c364ea9c85618499b69d08,"Perché il problema è stato risolto in modo veloce e appropriato, importantissimo considerando la linea tipo business."
7926,6333_9_0cb106e09ec7c099a8e6f0cd5618e25f,Gli operatori contattato sempre gentili e molto preparati. Il problema non è stato risolto a causa di un problema legato a modem fibra che non accetta aggiornamenti firmware.
7928,6333_9_0cc5178401109eb7952c039d28385e34,Pronta soluzione al problema senza ritardi ne solleciti
7929,6333_9_0cd23b7d59c5e1ec5cea924a803e7194,Gentilezza
7931,6333_9_0cf8920b75b28c185b7340ba966a99a8,Per l’efficienza e la professionalità
7933,6333_9_0d00fd35e01b65969b4e43ab62262ef3,La risoluzione del problema è stata veloce e non ha inciso sull’attività aziendale.
7934,6333_9_0d01ef265e03c0045f9faba92e1184ab,Sono soddisfatto
7935,6333_9_0d0f52654ad914539ab38c1191edb771,Per la cortesia e assistenza
7937,6333_9_0d1d32b6b52752d6ebd9c9e8c1c4faf8,Per la difficoltà a parlare con l ‘operatore
7939,6333_9_0d53fcc7155dd07d93fdec02c4e18b6d,Il tecnico è stato molto competente e cordiale
7940,6333_9_0d5b841ba1e03efa45d0b8767b7e89fc,"La ragazza dell'ufficio tecnico è stata bravissima e gentilissima, ha risolto il problema in poco tempo."
7941,6333_9_0d64b770772ea1a012ed1d683ee2e210,Perché lo ritengo giusto
7943,6333_9_0d7f0df99d9d13b47dc2b1fb43250ecf,"Servizio discreto, ma un po lento."
7944,6333_9_0d847f07174501440d2e025fda6a9eea,Il tecnico si è impegnato a controllare anche un’ulteriore anomalia riscontrata in centrale.
7946,6333_9_0d9ad342e1560b63f8cae6a41f7710ba,"L'intervento è avvenuto in tempi adeguati, i tecnici hanno lavorato con scrupolo e non hanno lasciato nulla di intentato."
7947,6333_9_0dc0d8bb626c2c60a9bdc9f7e1dd4b7a,Una volta individuato il ghasto sono stati celeri.
7948,6333_9_0dccd676e625a3e633e071b65948a4a5,Sono stati celeri ed il tecnico immediato nella risoluzione del problema. L'unico appunto è stato quello di non aver preso unappuntamento
7949,6333_9_0de902e6e8ba1fee0d26580ed8b26aa9,"Personale competente, gentile e disponibile"
7950,6333_9_0df7caf52aa64ed10ccccddf537af866,Sono soddisfatto
7952,6333_9_0e27f393f81bbd9c0ce703105b69c302,.....
7953,6333_9_0e3453aefd9b7f45b31ebf88acdb7cd3,L'ultima operatrice è stata efficiente brava
7954,6333_9_0e87522c3eb13260cbae098301bf198f,Risoluzione veloce e personale molto disponibile
7956,6333_9_0ea3fd52a672bee873b2d61e431afde0,Tutto ok
7958,6333_9_0ebe24c6362c6468e989658675619d91,Buona assistenza telefonica e buona assistenza tecnica in sede.
7959,6333_9_0ee5caa2f0d1a6243f0cd49b69e8551f,"Tutto ok, rapido, cortese"
7961,6333_9_0f2446908c19e31c07d7ff4dec9adadd,Perché si è risolto tutto nei tempi detti
7962,6333_9_0f2b339bbaf0433ec0096a07d238e713,Per la cortesia e la velocità nell' intervento
7963,6333_9_0f5f350f1bb281475d29f81972adb6bb,è stato risolto alla seconsa segnalazione
7965,6333_9_0f68ba11b6d470f42e679055a6b01ab6,Operatori competenti
7966,6333_9_0f7031c6a01e2a585c4804d7f0aedecc,Perché il problema si è ripetuto
7967,6333_9_0f710f6744812d3a1830c0b055e91087,Tutto nella norma
7968,6333_9_0f725778ff16432665b1a570a709e99e,Perché l'operatore è stato competente e abbiamo risolto il guasto
7970,6333_9_0f847e18eeac802231903a1f07c6cd31,Per l’efficacia
7971,6333_9_0f87af2ab6122bf0b06959933bbdc4a0,Operatrice cordiale. Ha risoto il problema prontamente
7973,6333_9_0fa04f57e9e1772223737ff180c53eb2,Perché da spesso problemi
7976,6333_9_0fa67ed2c40d97eafb19c33ccd7fe022,Velocità
7977,6333_9_0faf8f51f6690abe537d92e80ef4d9c2,Abbastanza tempestivi e cordiali
7978,6333_9_0fc6e3876590b9b837f19f50eefbca92,Ho avuto la risoluzione del problema nel giro di due ore
7979,6333_9_0fcf6bdbfa1345def48aed6975335fd6,Ho un esercizio commerciale e il problema segnalato è stato risolto dopo 2 giorni. Sarebbe utile poter contare su un tecnico reperibile anche sabato  e fesrivi
7981,6333_9_0fe4d6ade07bfb827d75f0ae54caee03,Efficienti e gentili
7994,6333_9_106cf024875bfe8dfa2bf2face0ce7f1,"Operatrice italiana, che ha risolto velocemente i mie problemi e ha saputo rispondere alle mie domande."
7998,6333_9_10b61ba297644281dd1b37364e06c6d3,tutto risolto e personale intervenuto competente e preparato
7999,6333_9_10b648e4f14e30fc3821edf751c6ccb6,Il problema sembrerebbe essere stato generato da un intervento di tecnici Telecom intervenuti il giorno precedente nella stessa zona
8000,6333_9_10c0028e208c633569e34a7a6ea28e85,Risoluzione guasto ok Ma prendere la linea al 191 è sempre drammatico
8002,6333_9_10f63480602a4e419d52bd6eded81b95,Perché sono stati rispettati i tempi di per la risoluzione del disservizio
8003,6333_9_10fece411dced6998a8f0047272f12ca,Perché ha dato impulso prioritariamente al pagamento dell’intervento senza aver accertato se il mal funzionamento potesse dipendere dal modem
8004,6333_9_11003037cdfb8422d2ca2dfb7f9f292c,Se l'inconveniente fosse durato meno avrwi dato 10
8006,6333_9_11166e6ee584761f918c991b5e745b99,Risultato eccellente
8007,6333_9_111db6ae9b44c8aca59661f0d8fc8f74,Per l’efficienza
8009,6333_9_112707685a0918b40b01db5e603304b8,Soddisfatto
8010,6333_9_11290f14ac36a9f92ff306c353e0cdd1,Soddisfatto
8011,6333_9_11514caa58c32422ede572b588d44235,Efficienza nella comprensione del problema e della presa in carico e risoluzione positiva
8014,6333_9_118a752167fe5d720b7ce11a5732249e,È stato bravissimo
8016,6333_9_11ae98dc30c66530fd00e4044b93240f,Risolto tutto anche se era sabato
8023,6333_9_122a2d02941f8343fadd2006d9869ee8,Veloce e professionale
8025,6333_9_126abef970c3f998082572613835410d,Ottimo servizio
8026,6333_9_126d666a01fe58f55af8eeeb7e852c4b,Sicuramente si sarebbe potuto fare meglio
8027,6333_9_127e88d6255e02586c26c41aca54a62a,Tutto perfetto
8028,6333_9_1284526b258959a3ae8d044f5639f8f6,Veloce soluzione ed operatore molto cordiale e proattivo
8030,6333_9_12929b408e070d13d5fbf0fc10d0199f,L’ultkmo Tecnico ha risolto il problema dopo che vari tecnici hanno fallito
8031,6333_9_12a6a9fc99a4376e7d38a79605c19c2a,Soluzione veloce del problema. Efficienza e cortesia del tecnico
8034,6333_9_12b3816d404c74a792315c03e44bb9cc,L'operatore ha risolto il problema.
8035,6333_9_12c8b43ca1f9a3de52f2531cea6a988b,Problema risolto.
8040,6333_9_1315ad03ccb6ccd9611b1943aa619e09,"La ragazza al telefono è stata gentilissima, competente e sipinivile"
8043,6333_9_13607a5f0c78ecb14883516a17e780f2,Il problema e' stato risolto velocemente
8045,6333_9_1375e669aa50130add8c0ac8031bb4ed,Il 10 rappresenta la perfezione il voto sotto a 5 corrisponde ad una non soluzione del guasto il fatto che ho sollecitato ha fatto perdere un punto
8046,6333_9_1383a7413e9995f8ae3f16391bb274d6,Veloce e preciso
8047,6333_9_139a60fa67506762071a07ea718c8002,Veloce gentile preparato
8051,6333_9_13d5841fcbf7f32230f7b76589cfd706,"Ho chiamato,ho spiegato il problema,han capito il problema è hanno risolto"
8052,6333_9_13e6f3e5a11133081509b9d6b6496558,Avevo un problema di Linea su internet e il vostro operatore ha risolto all'istante
8054,6333_9_13fa22514c7c479f7e67a6baa600a0db,Il giusto
8055,6333_9_14028a446becb5a9d4e0ffc9a13fecdd,Troppo tempo
8056,6333_9_141d5f94a0764876f4499c2f07e916a9,Cordialita
8057,6333_9_141f946eab881e7fb8efe0c44e2e7cef,"Gli operatori sono tutti efficienti,disponibili,pazienti e gentili"
8058,6333_9_143867dc503d274e743cfd8377daa2f2,"Sono stati disponibili, chiari e abbastanza veloci"
8059,6333_9_143b354139afd3549bfce6b64d51b470,     Servizio ottimo
8061,6333_9_144e3c7d4bdd879d796f909388396ffa,Risoluzione problema
8063,6333_9_14913a381be9ae601e3c8717da1f24ba,Per la gentilezza degli operatori e la loro disponibilità e professionalità nel trattare la segnalazione
8064,6333_9_149321b40af54db52dcb092f7f7c3c32,Difficoltoso contattare l operatore telefonico l ultimo è stato efficiente gli altri lavativi
8065,6333_9_149d50a79ff388159a8f2d09cf0c4043,Tempestività
8067,6333_9_14c75151255b8d7d30dcde8ed49d56a9,Positiva
8068,6333_9_14e46855ec33d256dc2439cd21a61af7,Dire pienamente soddisfatti lo trovo azzardato
8069,6333_9_14efbe5f894376343e6dcc133f7c5007,Per la velocità di risoluzione  del problema.
8070,6333_9_15041e476c55d6f0cecb0606c29d61d0,Problema risolto
8071,6333_9_151f0d80161a1ba6ac5bcb586ab1dbd5,Efficienti ed efficaci
8074,6333_9_155593ae11ba9909c11570052600497c,Per la disponibilità
8075,6333_9_155852f902d6b0d3d09df08459a300c8,Assistenza buona
8076,6333_9_1588800f12cb999cbcd433cbc1fb129a,Perché l operatrice è stata rapida e cortese
8078,6333_9_15cec57d79c37d67c6de4d10754b13c0,Tutto senza problemi
8079,6333_9_15d16dc8a5651e6ccc8aa2410313485a,Durante l’installazione della fibra il tecnico ha tagliato il filo di un telefono e ha lasciato ai miei genitori (79 e 87 anni) un router da configurare senza dirgli nemmeno dove fosse scritta la psw
8080,6333_9_161ce8f76026bb61b604216ab31696ae,Ottimo..ma farei tutto via email
8081,6333_9_162c6f7dbbb4a80dd86ac62c07a31b26,Il problema è stato risolto e sia operatore che tecnico sono stati molto cordiali.
8082,6333_9_164814d11d9da01f23133d0f8f77d5e3,Grazie
8087,6333_9_1691cb75430571d291b9d2d4cf995062,Operatrice professionale e gentile
8088,6333_9_1698821454c3e56f93a4a20b9532c217,Cortesia e competenza
8089,6333_9_16aeb6bba9946ebd1dd701e7e9bd13c8,Per la disponibilita' manifestata.
8090,6333_9_16b3b480ebcc1a2dbc3ba02f3bcedbc8,Sono stati veloci e competenti
8092,6333_9_16cffe1c2db58f33045f1e97b12f6d04,4 giorni di attesa per uno studio medico!
8094,6333_9_170662b47a6363aedc0c2c96b1c0b608,"Perché sono gentili, cordiali e competenti."
8101,6333_9_17eeb5fa1e3d4dda828996d506e97dd3,Tempestività
8102,6333_9_17f035e3638185d1d9e6bd0698299acd,I tempi sono stati rispettati.
8105,6333_9_183d8f7539dc5c10f9f1807d6b8b48dd,Ho visto che anche l'operatrice al telefono ha provato a risolvere il guasto è poi non riuscendoci ha fatto venire il tecnico la mattina di sabato e il guasto è stato ripsrato
8106,6333_9_1869f5385610276144231439cb04eb98,La persona è stata gentile e  preparata
8108,6333_9_18769664e43f35f05211f1fbcf33555f,"La riparazione linea é stata per il momento sistemata, spero non si ripresenti ancora perché sarebbe la terza volta nel giro di pochi giorni"
8109,6333_9_18b0b48f4485310436094bac0dac39be,Intervento a pagamento
8110,6333_9_18bf1ea5f687203734a1c95c515a8cce,Per la sollecitudine con  cui è stato  risolto il problema
8113,6333_9_18f12f7dbce18979bfaf5992990891f0,Professionalità e cortesia
8114,6333_9_18faa1cb944f547921a2e3ea6c5b604f,Abbastanza sodfisfatta
8115,6333_9_19184f485e795dd3573f4e7ef1ba3a3f,gentilezza e prontezza. Peccato che il problema  ancora sussiste.
8116,6333_9_192a1bed008efd6059f2e070a5607e77,Persone gentili e competenti
8117,6333_9_19331154d6c020fc718a276937a4aa7e,"Ho contattato l'assistenza per la chiusura della linea adsl da parte di Tim, con relativo Costo disattivazione servizio €28,84 + 22% iva fattura  Ho dovuto rifare un nuovo contratto."
8120,6333_9_195bc597d761d024b97d8bcbe089e1b0,Aspetto di essere richiamata per risolvere il problema
8122,6333_9_19b72bd825f44b5452f1cddcd5be1c04,Buon servizio
8123,6333_9_19bc4c34d733300f0102d5773895b5c4,Perché questa volta hanno risolto il problema molto velocemente
8124,6333_9_19d317f7ded8a3ce96fab928e71bf3f3,Il voto 10 lo do solo agli operatori che rispondevano telefonicamente per quanto riguarda la serietà Dell'azienda Tim e dei suoi tecnici la mia valutazione è meno di zero siete Vergognosi
8129,6333_9_1a13ff8ff79713cd74360a7e8186c936,Tecnico qualificato
8130,6333_9_1a19a90689735015532bceea7a9b127d,Servizio puntuale
8131,6333_9_1a1e5f4e858a264b0c78941e5d4fbf9f,Bisogna avere fortuna nel beccare il tecnico giusto
8132,6333_9_1a31d1aaafc6b2f71c140cfd0bb776c4,"Efficiente, cortesia non posso dire la stessa cosa della velocità della linea Internet!!!!"
8134,6333_9_1a5872b8deb04c0d7c7c6a9d3123c292,Il tecnico è arrivato nella stessa giornata della mia segnalazione ed è stato competente nella risoluzione del problema
8136,6333_9_1a6e8565425cfc9e8482c9cf339931d8,Velocità
8138,6333_9_1a70301ca9f82e4bcfda8a1ffbe76203,Abbastanza veloci e competenti
8141,6333_9_1a8f2a02d221e4c5dd3d933bd91543b3,È quello che credo giusto
8144,6333_9_1ac7cb57d01b3a99b9dd117b1d63db72,Perché trattandosi di una connessione aziendale 48 ore è un po’ tanto nell’era di internet - fortunatamente disponendo di tre utenze adsl si è guastata quella meno importante
8146,6333_9_1b3e05805f40aa13aa5cbbdd6c4d5bd8,Bene
8147,6333_9_1b5ab609cd633a70ab4188becd0968d4,Veloci e competenti
8148,6333_9_1b60471f41d177e56fb294dd58c55896,Perché sono stati tempestivi
8149,6333_9_1b67a58cbaa37cdfd63a119c7b088fd2,Per la puntualità
8150,6333_9_1b6d09502056928e9cc60e51e9c36d48,Sono cliente da anni e sono contento della compagnia in quanto non ho mai avuto problemi che mi abbiano creato disagio (se non per qualche ora)
8152,6333_9_1bf26b0ca3320336e63ea84ac72cebcd,Perché è andato tutto a Buon fine
8154,6333_9_1c176ad960b985b1cb216184dd18cf69,"Per ora molta cordialità, vedremo domani x risoluzione nsbproblema."
8156,6333_9_1c4078990a647ff4dc4e6430fbcbea13,Operatore gentilissima ma il problema non è stato risolto
8157,6333_9_1c4ab527aaba217649cae48ac34967da,Perché ho risolto in breve tempo il problema
8158,6333_9_1c640455ed88c16c2dcd848b483f2e34,Perché è andata molto bene
8159,6333_9_1c77784ba74d42917a2d0486e43a0d95,Perché sono rimasto soddisfatto della competenza e gentilezza dei tecnici intervenuti nonché del servizio segnalazione guasti.
8160,6333_9_1c7cb00c9e0974ffe6af8941d24f0b3d,Dopo il contatto telefonico con il tecnico eravamo rimasti che mi avrebbe contatto per una verifica al modem.
8162,6333_9_1cd67e61985344c1af9ab10ab2b45528,Il tecnico mi ha controllato il router e dopo aver fatto alcune prove mi ha sostituito il router risolvendo
8163,6333_9_1cdd9996776c7dc73799c32df9eb75ed,"Cortesia, precisione, tempestività e competenza dell’operatore"
8168,6333_9_1d0d83c8f21af3c75437bdf2ec3bfba5,Hanno risolto il problema con la massima efficienza e puntualità.
8171,6333_9_1d44b2ed0f251bbfbd07cd8fe64419db,Servizio gentile e disponibile e soluzione  del problema veloce
8174,6333_9_1d991a7c7df1cddf6b2f9eb36e1669e4,Non sufficiente coordinamento tra call center e tecnico
8175,6333_9_1db7b1aa56e236408d6a900011fd76c7,Per cortesia e competenza.
8176,6333_9_1dc0e371ac6f1cf090c2adff4e165185,Gentilezza e disponibilità
8177,6333_9_1dcd9949ba401663b50ec65e93ef30d1,.
8178,6333_9_1dd4f3a910d2a35057db822111c075c6,cordialitá e professionalitá
8179,6333_9_1dfb8d61688ecf26e3c27c5a30ef8779,Sono rimasto soddisfatto della velocità e professionalità dell'assistenza.
8187,6333_9_1e43796f2b6905e6e444f6e6af6f8e1d,Tempi di risoluzione brevi e competenza del tecnico
8188,6333_9_1e59f8a6938f9710add9f98c5955e246,Efficienza
8189,6333_9_1e68f54bb2801664c477131298fdb20e,Perché l’operatore a capito il mio problema è mi ha passato un tecnico della assistenza gli ho esposto il problema è il giorno successivo funzionava tutto
8191,6333_9_1eab978aded24e97d65691fca6b48a2c,Velocità e competenza
8193,6333_9_1ed64d2229f667c218f538350849ec26,Guasto risolto nei tempi stabiliti
8194,6333_9_1f03cf6964b2193cd17017a321e77be3,Puntualità precisione professionalità del tecnico
8199,6333_9_1f3754ad17984bd220d6a7fd47b2a587,Perché hanno risolto il problema
8202,6333_9_1fa08055fbd59415d5257e2806ba36ee,gentilezza e disponibilità
8203,6333_9_1fdf0b8ba89f8ccdeb9e6aa433eda748,Perché sono stati rapidi e gentili e soprattutto hanno risolto il problema.
8204,6333_9_2004f2635bc12bed8392a53213ea6dd9,Cortesia e professionalita’ degli operatori sia telefonici che tecnici.
8206,6333_9_20300cfced23652346b01516c6bfe7e0,La sig.ra dove o segnalato il guasto è stata molto gentile e veloce Mentre il tecnico che ha mi ha contattato per vedere se funzionava il tutto non si è spiegato molto bene anzi
8207,6333_9_204cd244aa1f2b85c4b26e0237157047,Velocità di ripristino
8208,6333_9_206a673ba30b59f8b4e8294e0ed42602,Buona
8210,6333_9_2092510babfa107e998fa6e3d8589f2e,Per la cortesia
8211,6333_9_209626371254e2460dc69ab34e1c02a3,Perché il problema è stato risolto in poco tempo
8213,6333_9_20a4d8f97484b62ffcd22d7ba33334b5,il problema è stato risolto una volta segnalato all ufficio tecnico dall operatrice
8216,6333_9_20c5ea12a255a969d0d678c6314521a3,Operatrice telefonica molto competente
8220,6333_9_2131c4e64909fbb0e876d1106370f769,Tutto bene
8227,6333_9_21db743cb798d62a97bed643693ab8c3,Perché è stato risolto nei tempi detti
8235,6333_9_224b8af6764beaba59fe06a501207df0,Tutto ok
8236,6333_9_22581d00b1c1e22b17fab5653fcfb45e,Unicamente per il ritardo Nel inviare il tecnico
8240,6333_9_22aaa44f0f8216db73b6bb969f7e7e5b,Tempi intervento rapidi
8245,6333_9_23255befa04a8badd3806bb3aba62e5d,Tutto bene
8246,6333_9_233cec1aef759cefec58af39a0efdbd8,Efficienza del personale anche se tecnicamente il problema non è ancora risolto
8247,6333_9_23443ab52b3a0b0ef8d8f6a95c62b113,Risoluzione problema immediato
8248,6333_9_237d13b070f618dbeeaddbec6aed4354,"È stata professionale, concreta , chiara e gentile"
8250,6333_9_23a6acb51590d07848912302cd2b506f,Sono stati veloce ed efficienti
8253,6333_9_23f9202c9d2bb326144ea574416d8bb1,Pienamente soddisfatto
8257,6333_9_243448f2abfc48cb71c846a046b47780,Buon servizio
8261,6333_9_24729b4ca4cee56b73597139a947dfe9,Velocità risoluzione
8263,6333_9_24939103fd77b4bc0551d8818d5cbd87,Ho parlato con più di un operatore uno di questi è stato scortese e ha chiuso la comunicazione
8264,6333_9_249a217ebb20334d5c89636566fece61,Cordialità
8267,6333_9_24bcc8aa620ee7c90bfade43cb1e7646,Alla fine hanno dovuto cambiare il modem
8270,6333_9_24ccf24f3c9b48207f33913c9f484258,Perché è stato risolto il problema con sollecitudine
8273,6333_9_252a2ef7b291eba5f40b56fe539053b3,L operatore é stato chiaro e disponibile e si è verificato esattamente quanto riferitomi
8275,6333_9_25530a53c0ef2f64d9ea9d10e8e2d36b,Problema risolto molto velocemente
8277,6333_9_256e1137bf4000f06596f34f1c2496f9,Perché ho trovato molta disponibilità da parte degli operatori
8278,6333_9_256ecf3e028c93c4395b216120f07a48,Per la cortesia e la tempestività
8283,6333_9_25d23bfb3c284f25fa91e2863652f887,Il problema risiede nella qualità del cablaggio dalla mia abitazione verso la centralina che risente di infiltrazioni. L' intervento ha risolto il problema contingente ma non è soluzione definitiva.
8285,6333_9_25fc4fccf24bf90509bec4f83bf0a68d,"Il Tecnico bravissimo e gentile, e molto disponibile"
8287,6333_9_2612507d0c25d04b4f9efb489e33dbb4,Per la tempestiva risoluzione del Problema
8289,6333_9_26313824fd8fb3166508156c9e4abcf3,Tutto ok
8291,6333_9_264dcc08ff1309c3746b17d627fd0a2e,Una volta chiarito il problema la soluzione é stata immediata
8292,6333_9_266c2ef10218deb3c78aa3da4a8b710f,Tempi rispettati
8294,6333_9_26be0ac5003b8a2fd8b1e535df123741,Perché soddisfatta
8295,6333_9_26be6edec6a1919230537655faf94ac1,Gentilezza e disponibilità.  Problema risolto nel giro di poche ore
8297,6333_9_26dd9866be45de4156984f994d966097,Perché e la verita
8298,6333_9_26f3c730e5d62f49c66107c360b9281f,Solo perché l operatore è stato molto competente
8301,6333_9_27196295d1e9162dd195b85148d83783,Soddisfacente
8303,6333_9_273c80f4382089c82926e92f9d11e2a4,Cortesia ed efficienza
8306,6333_9_2752fe13078f9865fa97b4d5225bc8ae,4giorni mi sono sembrati troppo per un utenza business
8308,6333_9_27662206653b64e23618b5550018baf7,Risolto problema
8311,6333_9_278f6c860159a7e21cc2fa2163a27290,Lentezza
8312,6333_9_279047410bca398ce55f24079fb2e1f2,"Per: gentilezza, tempestività, competenza ed impegno!!! Tantissime cordialità."
8315,6333_9_27cf01cc6570470167023b7766dfed34,Disponibili e veloci
8317,6333_9_27de5fd4b9ac5a7cc1a80b9e64ac0f38,Competenza prodfessionalità
8320,6333_9_27f189b920c1211d30120c38a2aaf6f5,"Per il tecnico 10, per aver parlato con un sistema e non con operatore 8. La media é 9."
8321,6333_9_27f3980210db2182e5abddc9da8ca5c0,Velocità nella risoluzione del problema
8322,6333_9_27fca4ca2bf87169386064bb7bd941d1,Ottimo ser
8326,6333_9_2873b6054cb4cdcc1b85975823649296,Celerità
8327,6333_9_28a24713a2972c523cf7117f63574df4,Molto bene e con celerita
8328,6333_9_28af91d476b64dde5587a7bef1c7ab8a,Ottima cortesia del personale. Rispetto dei tempi previsti.
8330,6333_9_28b40f9f21b6771473e601f49405085d,Per avermi risolto il problema
8332,6333_9_28c8a2eae7b038f1a580359d56b60033,Ottimo Lavoro e competenza da parte del tecnico; Tempestivita’ e risoluzione del problema  eccellenti.
8333,6333_9_28df7f7606502b36dd43768db07d5c87,Bilanciando un po’ tutto
8334,6333_9_2900e192f49da512f91c6389f2da30be,Per l'impegno
8335,6333_9_291072a8ffa8634ef36b9f9a4c2d180c,Poi vi chiedete perché la gente non risponde ai questionari..sono troppo lunghi e fate perdere una marea di tempo.
8336,6333_9_291f8f0e706ab694f113baf27d28d5bf,Efficienza d velocità
8339,6333_9_293f9d077f310cd7671cafa094ccf7de,Rispettato tempi ed verificato effettivamente il problema che segnalavo anche se da remoto inizialmente non veniva rilevato
8340,6333_9_29f766764a2f9d4cbac48ab094bd751f,A
8342,6333_9_2a284884939c043f18e1109ed25601aa,Velocità e competenze
8343,6333_9_2a312b7cca25990d94fda57652af0fa3,Il tecnico è stato gentile e il guasto è stato risolto tempestivamente molto prima delle 24 ore dopo la richiesta.
8344,6333_9_2a7466689ee523989614f47034077187,Il servizio è stato veloce e la risoluzione del problema rapida
8345,6333_9_2a747756302574ccaf4de89ae7cfe541,Hanno risolto il mio problema veloce e hanno rispettato l'appuntamento.
8346,6333_9_2a8d88d3011888502d667d7f8e6645df,Tempi rapidi tecnico competente
8347,6333_9_2a96a7ca4a8f56cf3937d386c525fa2c,Gentilezza e disponibilità
8348,6333_9_2a9739faf5694524646af97b20587167,Cortesia e competenza
8351,6333_9_2ae666d78ce87822781b52ad03336a6b,Per la semplicità è solerzia nel risolvere il problema
